Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
"Old Bones, the Wonder Horse",A true and thrilling story of a skinnny little foal.,['Mildred Mastin Pace'],http://books.google.com/books/content?id=UUlHRAEWQIoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=UUlHRAEWQIoC&q=Old+Bones,+the+Wonder+Horse&dq=Old+Bones,+the+Wonder+Horse&hl=&cd=1&source=gbs_api",,1955,"http://books.google.nl/books?id=UUlHRAEWQIoC&dq=Old+Bones,+the+Wonder+Horse&hl=&source=gbs_api","[""Children's literature""]",6.0
"Sciatica Relief Handbook, Foreword By Dr. Mary Ann Castor D.C., R.N.","'Ik was stomverbaasd dat ik nog nooit van dit boek had gehoord. Voor mij is het even belangrijk als het dagboek van Anne Frank.' - Steve McQueen Solomon Northup, in 1808 als vrij man geboren in New York, wordt in 1841 ontvoerd en in het Zuiden verkocht als slaaf. Twaalf jaar lang werkt hij op plantages in Louisiana, vaak onder de meest wrede omstandigheden, altijd in de hoop zijn vrijheid terug te winnen. In 1853 komt Northup eindelijk vrij. In datzelfde jaar verschijnt 12 jaar slaaf, zijn eigen aangrijpende relaas van zijn gevangenschap in een van de donkerste periodes uit de Amerikaanse geschiedenis. Het boek slaat direct in als een bom en opent vele Amerikanen de ogen voor de onmenselijkheid van het slavernijsysteem. 12 Years a Slave is verfilmd door de Britse filmmaker Steve McQueen en werd geproduceerd door onder anderen Brad Pitt. De film won de Golden Globe voor Beste Film en is genomineerd voor negen Oscars, waaronder die voor Beste Film. Het boek verschijnt voor het eerst in Nederlandse vertaling. Met een voorwoord van Steve McQueen en een inleiding van Bianca Stigter",['Solomon Northup'],http://books.google.com/books/content?id=W3PPAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=W3PPAgAAQBAJ&printsec=frontcover&dq=Sciatica+Relief+Handbook,+Foreword+By+Dr.+Mary+Ann+Castor+D.C.,+R.N.&hl=&cd=1&source=gbs_api",Atlas Contact,2014-02-21,https://play.google.com/store/books/details?id=W3PPAgAAQBAJ&source=gbs_api,['Biography & Autobiography'],
Object-Oriented Frameworks Using C++ and CORBA Gold Book: The Must-have Guide to CORBA for Developers and Programmers,"This book shows how to develop software based on parts that interact primarily through an event mechanism. The book demonstrates the use of events in all sorts of situations to solve recurring development problems without incurring coupling. A novel form of software diagram is introduced, called Signal Wiring Diagram. These diagrams are similar to the circuit diagrams used by hardware designers. A series of case studies concludes the book, bringing all the next concepts introduced together. Source code is provided in both C# and VB.NET",['Ted Faison'],http://books.google.com/books/content?id=SUtJAAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=SUtJAAAAQBAJ&dq=Object-Oriented+Frameworks+Using+C+++and+CORBA+Gold+Book:+The+Must-have+Guide+to+CORBA+for+Developers+and+Programmers&hl=&cd=1&source=gbs_api,Apress,2006-12-06,http://books.google.nl/books?id=SUtJAAAAQBAJ&dq=Object-Oriented+Frameworks+Using+C+++and+CORBA+Gold+Book:+The+Must-have+Guide+to+CORBA+for+Developers+and+Programmers&hl=&source=gbs_api,['Computers'],
Forever Free: The Story of Emancipation and Reconstruction,"From one of our most distinguished historians, a new examination of the vitally important years of Emancipation and Reconstruction during and immediately following the Civil War–a necessary reconsideration that emphasizes the era’s political and cultural meaning for today’s America. In Forever Free, Eric Foner overturns numerous assumptions growing out of the traditional understanding of the period, which is based almost exclusively on white sources and shaped by (often unconscious) racism. He presents the period as a time of determination, especially on the part of recently emancipated black Americans, to put into effect the principles of equal rights and citizenship for all. Drawing on a wide range of long-neglected documents, he places a new emphasis on the centrality of the black experience to an understanding of the era. We see African Americans as active agents in overthrowing slavery, in helping win the Civil War, and–even more actively–in shaping Reconstruction and creating a legacy long obscured and misunderstood. Foner makes clear how, by war’s end, freed slaves in the South built on networks of church and family in order to exercise their right of suffrage as well as gain access to education, land, and employment. He shows us that the birth of the Ku Klux Klan and renewed acts of racial violence were retaliation for the progress made by blacks soon after the war. He refutes lingering misconceptions about Reconstruction, including the attribution of its ills to corrupt African American politicians and “carpetbaggers,” and connects it to the movements for civil rights and racial justice. Joshua Brown’s illustrated commentary on the era’s graphic art and photographs complements the narrative. He offers a unique portrait of how Americans envisioned their world and time. Forever Free is an essential contribution to our understanding of the events that fundamentally reshaped American life after the Civil War–a persuasive reading of history that transforms our sense of the era from a time of failure and despair to a threshold of hope and achievement.",['Eric Foner'],http://books.google.com/books/content?id=BfC7FbdXgxIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BfC7FbdXgxIC&printsec=frontcover&dq=Forever+Free:+The+Story+of+Emancipation+and+Reconstruction&hl=&cd=1&source=gbs_api,Vintage,2013-06-26,https://play.google.com/store/books/details?id=BfC7FbdXgxIC&source=gbs_api,['History'],2.0
Visa for Avalon,"Four men and women attempt an escape to legendary Avalon after ""the Movement"" threatens the liberty and comforts they have taken for granted.",['Bryher'],http://books.google.com/books/content?id=u_ohAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=u_ohAAAAMAAJ&q=Visa+for+Avalon&dq=Visa+for+Avalon&hl=&cd=1&source=gbs_api,,1965,http://books.google.nl/books?id=u_ohAAAAMAAJ&dq=Visa+for+Avalon&hl=&source=gbs_api,['Avalon (Legendary place)'],
Artists' Pigments: A Handbook of Their History and Characteristics Volume 2,,,,http://books.google.nl/books?id=-GuxzgEACAAJ&dq=Artists%27+Pigments:+A+Handbook+of+Their+History+and+Characteristics+Volume+2&hl=&cd=1&source=gbs_api,,1993,http://books.google.nl/books?id=-GuxzgEACAAJ&dq=Artists%27+Pigments:+A+Handbook+of+Their+History+and+Characteristics+Volume+2&hl=&source=gbs_api,,
PeopleSoft Administrator's Guide,"Demonstrates the resource planning system's basic capabilities while explaining how to implement security, analyze workflow, back-up and recover data, and manage upgrades",['Darrell Bilbrey'],http://books.google.com/books/content?id=cl4GAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cl4GAAAACAAJ&dq=PeopleSoft+Administrator%27s+Guide&hl=&cd=1&source=gbs_api,Sybex Incorporated,1999-01-01,http://books.google.nl/books?id=cl4GAAAACAAJ&dq=PeopleSoft+Administrator%27s+Guide&hl=&source=gbs_api,['Computers'],
The Telling Pool,"Relying on true courage and true love, as well as some surprising connections to the Arthurian legends, a young Welsh teenager named Rhodri embarks on a quest to remove an ancient curse from Great Britain during the reign of Richard the Lionheart. Reprint.",['David Clement-Davies'],http://books.google.com/books/content?id=f9KDZxTfNmEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=f9KDZxTfNmEC&q=The+Telling+Pool&dq=The+Telling+Pool&hl=&cd=1&source=gbs_api,Harry N. Abrams,2007-09-01,http://books.google.nl/books?id=f9KDZxTfNmEC&dq=The+Telling+Pool&hl=&source=gbs_api,['Young Adult Fiction'],7.0
The Epistle to the Romans 1-8 (Vol. 1) (International Critical Commentary Series),"For over one hundred years, the International Critical Commentary series has held a special place among works on the Bible. It has sought to bring together all the relevant aids to exegesis — linguistic and textual no less than archaeological, historical, literary and theological—with a level of comprehension and quality of scholarship unmatched by any other series. No attempt has been made to secure a uniform theological or critical approach to the biblical text: contributors have been invited for their scholarly distinction, not for their adherence to any one school of thought. The first paperback editions to be published cover the heart of the New Testament, providing a wealth of information and research in accessible and attractive format.",['C. E. B. Cranfield'],http://books.google.com/books/content?id=wnkqeOHAZ0MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=wnkqeOHAZ0MC&printsec=frontcover&dq=The+Epistle+to+the+Romans+1-8+(Vol.+1)+(International+Critical+Commentary+Series)&hl=&cd=1&source=gbs_api,A&C Black,2004-06-26,http://books.google.nl/books?id=wnkqeOHAZ0MC&dq=The+Epistle+to+the+Romans+1-8+(Vol.+1)+(International+Critical+Commentary+Series)&hl=&source=gbs_api,['Religion'],2.0
"Nurse Practitioner Secrets, 1e","Nursing Professional Development Exam Flashcard Study System uses repetitive methods of study to teach you how to break apart and quickly solve difficult test questions on the Nursing Professional Development Board Certification Test. Study after study has shown that spaced repetition is the most effective form of learning, and nothing beats flashcards when it comes to making repetitive learning fun and fast. Our flashcards enable you to study small, digestible bits of information that are easy to learn and give you exposure to the different question types and concepts. Nursing Professional Development Exam Flashcard Study System covers: Bioethics, Nursing Code of Ethics, Deontology, Nurse Practice Act, Principles of Law, Liability, Collective Bargaining, Good Samaritan Acts, Malpractice, Nurse Practitioner, Adult Learning Theory, Self-Directed Learning, Competency, American Nurses Association, Facilitator, Consultant, Cyberology, Change Theory, Gordon Lippitt, Kurt Lewin, Superuser, E-Learning, Delphi Technique, Psychomotor Domain Theory, Humanism and Cognitivism, Competency-Based Education, Employee Orientation Program, Evaluation, Competency Validator, Consortium, Merger, Accreditation, Benchmarking, HIPAA, National League of Nursing, Learning Management Systems, Marketing, Co-Providership, Nurse Licensure Compact, Collaboration, Qualitative Research, Cosmograph, Cause-and-Effect Diagram, Career Ladder, Facilitation, Positivism, Conflict Management Strategy, Med-ARB, Work Breakdown Structure, and much more...",['Mometrix Media'],http://books.google.com/books/content?id=Hy6xcQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=Hy6xcQAACAAJ&dq=Nurse+Practitioner+Secrets,+1e&hl=&cd=1&source=gbs_api",Mometrix Media LLC,2014-03-31,"http://books.google.nl/books?id=Hy6xcQAACAAJ&dq=Nurse+Practitioner+Secrets,+1e&hl=&source=gbs_api",['Medical'],
